layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,1024,1,128,0,1,3,256,119153.972656,4.95787844557e-06,0,repeated_buffer
HSD,1024,1,128,0,1,4,512,55462.4023438,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,4,256,119341.960938,4.95787844557e-06,0,repeated_buffer
SHD,1024,1,128,0,1,4,512,55580.8925781,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,5,256,119223.144531,4.95787844557e-06,0,repeated_buffer
HSD,1024,1,128,0,1,5,512,55727.5390625,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,5,512,55334.2285156,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,6,256,118735.191406,4.95787844557e-06,0,repeated_buffer
SHD,1024,1,128,0,1,6,512,55498.2089844,4.00420412916e-06,0,repeated_buffer
HSD,1024,1,128,0,1,6,512,55065.2675781,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,7,512,55106.3632812,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,7,256,118935.058594,4.95787844557e-06,0,repeated_buffer
HSD,1024,1,128,0,1,7,512,55331.2988281,4.00420412916e-06,0,repeated_buffer
HSD,1024,1,128,0,1,8,512,55104.4121094,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,8,512,55101.8066406,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,8,256,118757.652344,4.95787844557e-06,0,repeated_buffer
HSD,1024,1,128,0,1,9,512,55052.4101562,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,9,512,55260.4980469,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,9,256,118882.972656,4.95787844557e-06,0,repeated_buffer
DSH,1024,8,64,4,1,0,512,53326.4980469,1.93009185523e-06,0,repeated_buffer
HSD,1024,8,64,4,1,0,1024,19654.1337891,1.71671871385e-06,0,repeated_buffer
SHD,1024,8,64,4,1,0,1024,19637.0439453,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,1,1024,19636.6787109,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,1,512,51967.2851562,1.93009185523e-06,0,repeated_buffer
SHD,1024,8,64,4,1,1,1024,19708.0078125,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,2,512,52922.8515625,1.93009185523e-06,0,repeated_buffer
HSD,1024,8,64,4,1,2,1024,19601.9287109,1.71671871385e-06,0,repeated_buffer
SHD,1024,8,64,4,1,2,1024,19734.0087891,1.71671871385e-06,0,repeated_buffer
SHD,1024,8,64,4,1,3,1024,19727.5800781,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,3,1024,19665.2011719,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,3,512,54729.0839844,1.93009185523e-06,0,repeated_buffer
DSH,1024,8,64,4,1,4,512,54175.9453125,1.93009185523e-06,0,repeated_buffer
SHD,1024,8,64,4,1,4,1024,19696.4511719,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,4,1024,19662.0273438,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,5,512,53492.6757812,1.93009185523e-06,0,repeated_buffer
SHD,1024,8,64,4,1,5,1024,19776.8144531,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,5,1024,19646.8505859,1.71671871385e-06,0,repeated_buffer
SHD,1024,8,64,4,1,6,1024,19694.4580078,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,6,1024,19680.9902344,1.71671871385e-06,0,repeated_buffer
