layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
SHD,8192,32,128,16,1,8,32,642768.21875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,9,8,4512416.625,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,9,64,443898.4375,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,9,32,630851.5625,6.30243245325e-06,0,repeated_buffer
DSH,32768,1,64,0,1,0,16,1934934.875,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,0,32,635531.25,3.3085065354e-06,0,repeated_buffer
HSD,32768,1,64,0,1,0,32,636558.59375,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,1,16,2032460.9375,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,1,32,637101.5625,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,1,32,636695.3125,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,2,32,634477.875,3.3085065354e-06,0,repeated_buffer
HSD,32768,1,64,0,1,2,32,635567.71875,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,2,16,1940619.8125,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,3,16,1944375,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,3,32,637062.5,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,3,32,633756.53125,3.3085065354e-06,0,repeated_buffer
HSD,32768,1,64,0,1,4,32,634485.6875,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,4,32,635475.28125,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,4,16,1948349,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,5,32,633256.5,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,5,16,2025729.1875,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,5,32,640468.75,3.3085065354e-06,0,repeated_buffer
HSD,32768,1,64,0,1,6,32,635963.53125,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,6,32,634151.03125,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,6,16,1941578.125,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,7,32,635058.59375,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,7,32,632643.25,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,7,16,1943078.125,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,8,16,1940101.5625,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,8,32,633579.4375,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,8,32,635514.3125,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,64,0,1,9,16,1939781.25,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,9,32,634276.03125,3.3085065354e-06,0,repeated_buffer
SHD,32768,1,64,0,1,9,32,633985.65625,3.3085065354e-06,0,repeated_buffer
DSH,32768,1,128,0,1,0,4,5239396,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,0,16,1777781.25,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,0,16,1787138.0625,5.91481418155e-06,0,repeated_buffer
HSD,32768,1,128,0,1,1,16,1788736.9375,5.91481418155e-06,0,repeated_buffer
DSH,32768,1,128,0,1,1,4,5238541.75,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,1,16,1780460.9375,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,2,16,1775328.125,5.91481418155e-06,0,repeated_buffer
HSD,32768,1,128,0,1,2,16,1782218.75,5.91481418155e-06,0,repeated_buffer
DSH,32768,1,128,0,1,2,4,5389354.25,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,3,4,5227114.5,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,3,16,1861208.375,5.91481418155e-06,0,repeated_buffer
HSD,32768,1,128,0,1,3,16,1793192.6875,5.91481418155e-06,0,repeated_buffer
HSD,32768,1,128,0,1,4,16,1777169.3125,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,4,16,1782067.6875,5.91481418155e-06,0,repeated_buffer
DSH,32768,1,128,0,1,4,4,5199895.75,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,5,4,5186135.25,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,5,16,1781812.5,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,5,16,1768182.3125,5.91481418155e-06,0,repeated_buffer
HSD,32768,1,128,0,1,6,16,1768080.75,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,6,16,1783869.8125,5.91481418155e-06,0,repeated_buffer
DSH,32768,1,128,0,1,6,4,5236687.5,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,7,4,5278177,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,7,16,1777315.125,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,7,16,1780885.4375,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,8,16,1800575.5,5.91481418155e-06,0,repeated_buffer
HSD,32768,1,128,0,1,8,16,1780695.3125,5.91481418155e-06,0,repeated_buffer
DSH,32768,1,128,0,1,8,4,5187656.25,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,9,4,5174698,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,9,16,1779690.125,5.91481418155e-06,0,repeated_buffer
SHD,32768,1,128,0,1,9,16,1787643.1875,5.91481418155e-06,0,repeated_buffer
DSH,32768,32,64,16,1,0,4,7896437.5,2.54614315054e-06,0,repeated_buffer
SHD,32768,32,64,16,1,0,32,674492.1875,3.03213685982e-06,0,repeated_buffer
