run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run2,32768,8,128,4,1,DSH,10,15802.7605,15670.2865,15863.228875,8.83946255037819
Run2,32768,8,128,4,1,HSD,10,1787.75128125,1777.985640625,1801.490875,1.0
Run2,32768,8,128,4,1,SHD,10,2417.31378125,2396.02146875,2435.4921875,1.3521532925764754
Run2,32768,32,64,16,1,DSH,10,8783.583375,8670.893124999999,9399.768124999999,13.594247823563553
Run2,32768,32,64,16,1,HSD,10,646.125,645.596375,647.7548671875,1.0
Run2,32768,32,64,16,1,SHD,10,691.7929531249999,684.8945390625,702.9612734375,1.070679749467982
Run2,32768,32,128,16,1,DSH,10,17904.71875,17850.823,17995.166875000003,10.059573923579185
Run2,32768,32,128,16,1,HSD,10,1779.8685,1773.9081875,1782.66340625,1.0
Run2,32768,32,128,16,1,SHD,10,4596.171875,4591.6927187500005,4636.401,2.5823098026623876
Run3,128,1,64,0,1,DSH,10,4.566184997555,4.5587603454575,4.602106750487501,1.8538602123742405
Run3,128,1,64,0,1,HSD,10,2.46306866455,2.457935363765,2.468237548825,1.0
Run3,128,1,64,0,1,SHD,10,2.4654744873050003,2.4627710876475,2.4879785766599998,1.000976758297333
Run3,128,1,128,0,1,DSH,10,11.87751269535,11.847935913074998,11.908889770475,1.7157028950170663
Run3,128,1,128,0,1,HSD,10,6.922826049805,6.894889770507499,6.9403457031275,1.0
Run3,128,1,128,0,1,SHD,10,6.957667114255,6.927006958005,7.0000457153275,1.005032780572463
Run3,128,8,64,4,1,DSH,10,5.327397583010001,5.3032099609375,5.339764831539999,2.163759696766521
Run3,128,8,64,4,1,HSD,10,2.46210223389,2.4609909057575003,2.4631258544924997,1.0
Run3,128,8,64,4,1,SHD,10,2.47057855225,2.4677734069825,2.4818076782225,1.003442715839873
Run3,128,8,128,4,1,DSH,10,14.487142089799999,14.416386962875,14.598637939425,2.097534319665859
Run3,128,8,128,4,1,HSD,10,6.90674853516,6.8800228271475,6.917015197754999,1.0
Run3,128,8,128,4,1,SHD,10,6.976903198244999,6.932965576172501,7.0092367553675,1.010157408037641
Run3,128,32,64,16,1,DSH,10,6.1923828125,6.153144775395,6.2133382568375,2.5170684111896695
Run3,128,32,64,16,1,HSD,10,2.4601567382800003,2.45372137451,2.46246469116,1.0
Run3,128,32,64,16,1,SHD,10,2.5919469604499996,2.575808166505,2.59933596802,1.0535698478553603
